SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.22,0.96,0.95,0.661,6.61,HOLD,Moderate,False
0.28,0.5,0.95,0.524,5.24,HOLD,Moderate,False
0.28,0.58,0.95,0.552,5.52,HOLD,Moderate,False
0.28,0.64,0.95,0.573,5.73,HOLD,Moderate,False
0.28,0.7,0.95,0.595,5.95,HOLD,Moderate,False
0.28,0.76,0.95,0.615,6.15,HOLD,Moderate,False
0.28,0.82,0.95,0.637,6.37,HOLD,Moderate,False
0.28,0.86,0.95,0.651,6.51,HOLD,Moderate,False
0.28,0.9,0.95,0.665,6.65,HOLD,Moderate,False
0.28,0.96,0.95,0.685,6.85,HOLD,Moderate,False
0.32,0.5,0.95,0.54,5.4,HOLD,Moderate,False
0.32,0.58,0.95,0.569,5.69,HOLD,Moderate,False
0.32,0.64,0.95,0.589,5.89,HOLD,Moderate,False
0.32,0.7,0.95,0.611,6.11,HOLD,Moderate,False
0.32,0.76,0.95,0.631,6.31,HOLD,Moderate,False
0.32,0.82,0.95,0.652,6.52,HOLD,Moderate,False
0.32,0.86,0.95,0.666,6.66,HOLD,Moderate,False
0.32,0.9,0.95,0.68,6.8,HOLD,Moderate,False
0.32,0.96,0.95,0.702,7.02,HOLD,Good,False
0.35,0.5,0.95,0.552,5.52,HOLD,Moderate,False
0.35,0.58,0.95,0.581,5.81,HOLD,Moderate,False
0.35,0.64,0.95,0.601,6.01,HOLD,Moderate,False
